customer_id,total_orders,avg_order_value,avg_delivery_time,avg_rating,discount_rate,recency_days,order_frequency,value_per_minute,rating_discount_interaction,cluster_id,churn,churn_probability,risk_level,avg_sentiment,neg_review_ratio,channel,lat,lng,region,city
10916,13,45.35384615384616,51.53846153846154,3.353846153846154,0.2307692307692307,1,6.5,0.8632503660322108,0.7739644970414202,2,0,0.55034,Medium,3.333333333333333,0.3333333333333333,Chat,52.512678,13.413809,Europe,Berlin
10523,8,37.94125,48.625,2.9,0.5,1,4.0,0.7645591939546599,1.45,2,0,0.57645273,Medium,3.333333333333333,0.3333333333333333,Chat,13.034914,80.253784,India,Chennai
11095,8,33.655,45.0,3.25,0.25,1,4.0,0.7316304347826087,0.8125,2,0,0.59875757,Medium,3.0,0.0,Social,24.705282,46.702862,Middle East,Riyadh
11106,5,41.08,56.0,3.0200000000000005,0.2,1,2.5,0.7207017543859648,0.6040000000000001,2,0,0.54713804,Medium,3.0,0.0,Social,40.375379,-3.694714,Europe,Madrid
10048,12,31.705,41.75,3.7083333333333335,0.25,1,6.0,0.7416374269005848,0.9270833333333334,2,0,0.59875757,Medium,1.0,1.0,Chat,37.821754,-122.453919,USA,San Francisco
10620,8,36.28875,41.125,3.4125,0.625,1,4.0,0.8614540059347181,2.1328125,2,0,0.5461804,Medium,5.0,0.0,Chat,40.40474,-3.691007,Europe,Madrid
10874,5,44.73,54.6,3.12,0.4,1,2.5,0.8044964028776979,1.2480000000000002,2,0,0.5825662,Medium,5.0,0.0,Social,51.539623,-0.1112,Europe,London
11258,8,42.27875,50.375,3.45,0.125,1,4.0,0.8229440389294403,0.43125,2,0,0.57194525,Medium,3.0,0.0,Social,34.026568,-118.277474,USA,Los Angeles
10674,8,42.3175,39.5,3.6375,0.25,1,4.0,1.0448765432098766,0.909375,2,0,0.59092706,Medium,5.0,0.0,Social,13.779914,100.544582,Asia,Bangkok
10332,8,40.565,35.125,3.6375,0.625,1,4.0,1.1229065743944635,2.2734375,2,0,0.5461804,Medium,3.0,0.0,Email,35.635418,139.668146,Asia,Tokyo
11077,8,42.69625,37.5,3.625,0.25,1,4.0,1.1089935064935064,0.90625,2,0,0.59860563,Medium,5.0,0.0,Social,17.370084,78.457839,India,Hyderabad
